"date","h_price.x","h_rate.x","kospi.x","k_rate.x","h_price.y","h_rate.y","kospi.y","k_rate.y","s_price.x","s_rate.x","s_price.y","s_rate.y"
"2016-03-11",58200,0.345,1971.41,0.106,58200,0.345,1971.41,0.106,1249000,1.959,1249000,1.959
"2016-03-14",58800,1.031,1972.27,0.044,58800,1.031,1972.27,0.044,1255000,0.48,1255000,0.48
"2016-03-15",58600,-0.34,1969.97,-0.117,58600,-0.34,1969.97,-0.117,1253000,-0.159,1253000,-0.159
"2016-03-16",59800,2.048,1974.9,0.25,59800,2.048,1974.9,0.25,1256000,0.239,1256000,0.239
"2016-03-17",59300,-0.836,1987.99,0.663,59300,-0.836,1987.99,0.663,1263000,0.557,1263000,0.557
"2016-03-18",59600,0.506,1992.12,0.208,59600,0.506,1992.12,0.208,1273000,0.792,1273000,0.792
"2016-03-21",60100,0.839,1989.76,-0.118,60100,0.839,1989.76,-0.118,1267000,-0.471,1267000,-0.471
"2016-03-22",59200,-1.498,1996.81,0.354,59200,-1.498,1996.81,0.354,1269000,0.158,1269000,0.158
"2016-03-23",58900,-0.507,1995.12,-0.085,58900,-0.507,1995.12,-0.085,1279000,0.788,1279000,0.788
"2016-03-24",59300,0.679,1985.97,-0.459,59300,0.679,1985.97,-0.459,1282000,0.235,1282000,0.235
"2016-03-25",59300,0,1983.81,-0.109,59300,0,1983.81,-0.109,1288000,0.468,1288000,0.468
