"","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged"
"28","Permaculture Skills","Webseries","Film & Video","CAD","2014-12-14 18:02:00",17757,"2014-11-14 18:02:00",48905,"successful",571,"CA",43203.2511447
"36","Squatch Watchers","Webseries","Film & Video","USD","2013-08-23 21:40:13",10000,"2013-07-24 21:40:13",1373.37,"failed",54,"US",1373.37
"59","The Fanalyzers: Views from the Stands","Webseries","Film & Video","USD","2013-10-18 20:20:00",60000,"2013-09-18 20:20:00",635,"failed",5,"US",635
